id_partido,tiempo,tiempo_numerico,mitad,accion,numero,equipo,portero,asistencia_numero,gol_numero,asistencia_numero,tiro_numero,gol,posicion_marco,posicion_tiro,post,saved,posicion_marco_vertical,posicion_marco_horizontal,numero_causa_7m,numero_recibe_7m,turnover,robo,suspension,es_casa,equipo,cantidad_suspendidos,sin_portero,cantidad_jugadores_campo,posesion,numero_posesion,inicio_posesion,fin_posesion
1,29:27,1767,1,GARCIA Ffor 10 FEUCHTMANN E Goalkeeper back,12,CHI,12,,,,,,,,,,,,,,,,,FALSE,CHI,-2,0,4,EGY,51,29:13,29:19
1,30:00,1800,1,SALINAS R Goal right 9m top right,17,CHI,12,,17,,,1,top right,right 9m,,,top,right,,,,,,FALSE,CHI,-1,0,5,CHI,52,29:19,30:00
1,30:00,1800,2,ELTAYAR M Goalkeeper,96,EGY,96,,,,,,,,,,,,,,,,,TRUE,EGY,0,,,CHI,53,,
1,30:00,1800,2,GARCIA F Goalkeeper,12,CHI,12,,,,,,,,,,,,,,,,,FALSE,CHI,-1,,,CHI,53,,
1,30:34,1834,2,ELMASRY I 2-minutes suspension,24,EGY,96,,,,,,,,,,,,,,,,24,TRUE,EGY,0,0,6,CHI,53,30:00,30:34
1,30:34,1834,2,FRELIJJ J Goal left 6m bottom left (17 SALINAS R),9,CHI,12,17,9,17,,1,bottom left,left 6m,,,bottom,left,,,,,,FALSE,CHI,0,0,6,CHI,53,30:00,30:34
1,30:44,1844,2,MAMDOUH Mfor 96 ELTAYAR M Empty goal,89,EGY,Empty goal,,,,,,,,,,,,,,,,,TRUE,EGY,-1,1,6,CHI,53,30:00,30:34
1,31:08,1868,2,ZEIN A Goal breakthrough bottom right,90,EGY,Empty goal,,90,,,1,bottom right,breakthrough,,,bottom,right,,,,,,TRUE,EGY,-1,1,6,EGY,54,30:34,31:08
1,31:09,1869,2,ELTAYAR Mfor 11 MOAMEN A Goalkeeper back,96,EGY,96,,,,,,,,,,,,,,,,,TRUE,EGY,-1,0,5,EGY,54,30:34,31:08
1,31:28,1888,2,AYALA D Shot right wing saved top centre,30,CHI,12,,,,30,,top centre,right wing,,1,top,centre,,,,,,FALSE,CHI,0,0,6,CHI,55,31:08,31:28
1,31:37,1897,2,MOAMEN Afor 96 ELTAYAR M Empty goal,11,EGY,Empty goal,,,,,,,,,,,,,,,,,TRUE,EGY,-1,1,6,CHI,55,31:08,31:28
1,32:05,1925,2,OMAR Y Shot right 9m saved middle left,5,EGY,Empty goal,,,,5,,middle left,right 9m,,1,middle,left,,,,,,TRUE,EGY,-1,1,6,EGY,56,31:28,32:05
1,32:06,1926,2,ELTAYAR Mfor 11 MOAMEN A Goalkeeper back,96,EGY,96,,,,,,,,,,,,,,,,,TRUE,EGY,-1,0,5,EGY,56,31:28,32:05
1,32:22,1942,2,CEBALLOS S Technical Fault,2,CHI,12,,,,,,,,,,,,,,,,,FALSE,CHI,0,0,6,CHI,57,32:05,32:22
1,32:32,1952,2,MOAMEN Afor 96 ELTAYAR M Empty goal,11,EGY,Empty goal,,,,,,,,,,,,,,,,,TRUE,EGY,-1,1,6,CHI,57,32:05,32:22
1,32:54,1974,2,ZEIN A Goal breakthrough bottom right,90,EGY,Empty goal,,90,,,1,bottom right,breakthrough,,,bottom,right,,,,,,TRUE,EGY,0,1,7,EGY,58,32:22,32:54
1,33:06,1986,2,ELTAYAR Mfor 89 MAMDOUH M Goalkeeper back,96,EGY,96,,,,,,,,,,,,,,,,,TRUE,EGY,0,0,6,EGY,58,32:22,32:54
1,33:10,1990,2,FEUCHTMANN E Goal breakthrough middle left,10,CHI,12,,10,,,1,middle left,breakthrough,,,middle,left,,,,,,FALSE,CHI,0,0,6,CHI,59,32:54,33:10
1,33:42,2022,2,OMAR Y Goal right 9m top right,5,EGY,96,,5,,,1,top right,right 9m,,,top,right,,,,,,TRUE,EGY,0,0,6,EGY,60,33:10,33:42
1,33:44,2024,2,FRELIJJ J Disqualification (red card-three times 2-minute suspensions),9,CHI,12,,,,,,,,,,,,,,,,,FALSE,CHI,0,0,6,EGY,60,33:10,33:42
1,34:10,2050,2,FEUCHTMANN E Goal centre 9m bottom left,4,CHI,12,,4,,,1,bottom left,centre 9m,,,bottom,left,,,,,,FALSE,CHI,0,0,6,CHI,61,33:42,34:10
1,34:22,2062,2,OMAR Y Goal breakthrough bottom centre,5,EGY,96,,5,,,1,bottom centre,breakthrough,,,bottom,centre,,,,,,TRUE,EGY,0,0,6,EGY,62,34:10,34:22
1,34:53,2093,2,AYALA Dfor 12 GARCIA F Empty goal,30,CHI,Empty goal,,,,,,,,,,,,,,,,,FALSE,CHI,0,1,7,EGY,62,34:10,34:22
1,34:55,2095,2,SALINAS E Technical Fault,11,CHI,Empty goal,,,,,,,,,,,,,,,,,FALSE,CHI,0,1,7,CHI,63,34:22,34:55
1,35:00,2100,2,GARCIA Ffor 10 FEUCHTMANN E Goalkeeper back,12,CHI,12,,,,,,,,,,,,,,,,,FALSE,CHI,0,0,6,CHI,63,34:22,34:55
1,35:27,2127,2,YOUSRI A Goal right wing top left (39 ELDERAA Y),53,EGY,96,39,53,39,,1,top left,right wing,,,top,left,,,,,,TRUE,EGY,0,0,6,EGY,64,34:55,35:27
1,36:03,2163,2,SALINAS R Shot right 9m saved middle left,17,CHI,12,,,,17,,middle left,right 9m,,1,middle,left,,,,,,FALSE,CHI,0,0,6,CHI,65,35:27,36:20
1,36:20,2180,2,ZEIN A Steal,90,EGY,96,,,,,,,,,,,,,,,90,,TRUE,EGY,0,0,6,CHI,65,35:27,36:20
1,36:20,2180,2,SALINAS R Turnover,17,CHI,12,,,,,,,,,,,,,,17,,,FALSE,CHI,0,0,6,CHI,65,35:27,36:20
1,37:03,2223,2,ZEIN A Shot centre 9m saved bottom right,90,EGY,96,,,,90,,bottom right,centre 9m,,1,bottom,right,,,,,,TRUE,EGY,0,0,6,EGY,66,36:20,37:03
1,37:17,2237,2,MAMDOUH M 7m caused,89,EGY,96,,,,,,,,,,,,89,,,,,TRUE,EGY,0,0,6,CHI,67,37:03,37:26
1,37:17,2237,2,ONETO M 7m received,29,CHI,12,,,,,,,,,,,,,29,,,,FALSE,CHI,0,0,6,CHI,67,37:03,37:26
1,37:26,2246,2,FEUCHTMANN E Goal Penalty shot bottom centre (29 ONETO M),4,CHI,12,29,4,29,,1,bottom centre,Penalty,,,bottom,centre,,,,,,FALSE,CHI,0,0,6,CHI,67,37:03,37:26
1,38:12,2292,2,OMAR Y Shot breakthrough saved bottom left,5,EGY,96,,,,5,,bottom left,breakthrough,,1,bottom,left,,,,,,TRUE,EGY,0,0,6,EGY,68,37:26,38:26
1,38:26,2306,2,MAMDOUH M Technical Fault,89,EGY,96,,,,,,,,,,,,,,,,,TRUE,EGY,0,0,6,EGY,68,37:26,38:26
1,38:33,2313,2,FEUCHTMANN E Goal fast break bottom right,4,CHI,12,,4,,,1,bottom right,fast break,,,bottom,right,,,,,,FALSE,CHI,0,0,6,CHI,69,38:26,38:33
1,39:07,2347,2,MAMDOUH M Goal right 6m bottom right (90 ZEIN A),89,EGY,96,90,89,90,,1,bottom right,right 6m,,,bottom,right,,,,,,TRUE,EGY,0,0,6,EGY,70,38:33,39:07
1,39:21,2361,2,YOUSRI A 2-minutes suspension,53,EGY,96,,,,,,,,,,,,,,,,53,TRUE,EGY,0,0,6,EGY,70,38:33,39:07
1,39:41,2381,2,FEUCHTMANN H Shot left wing saved bottom centre,21,CHI,12,,,,21,,bottom centre,left wing,,1,bottom,centre,,,,,,FALSE,CHI,0,0,6,CHI,71,39:07,39:41
1,39:58,2398,2,MOAMEN Afor 96 ELTAYAR M Empty goal,11,EGY,Empty goal,,,,,,,,,,,,,,,,,TRUE,EGY,-1,1,6,CHI,71,39:07,39:41
1,40:18,2418,2,ELTAYAR Mfor 11 MOAMEN A Goalkeeper back,96,EGY,96,,,,,,,,,,,,,,,,,TRUE,EGY,-1,0,5,CHI,71,39:07,39:41
1,40:19,2419,2,SANAD M Goal right wing top left (5 OMAR Y),91,EGY,96,5,91,5,,1,top left,right wing,,,top,left,,,,,,TRUE,EGY,-1,0,5,EGY,72,39:41,40:19
1,40:32,2432,2,FEUCHTMANN H Shot left wing saved bottom centre,21,CHI,12,,,,21,,bottom centre,left wing,,1,bottom,centre,,,,,,FALSE,CHI,0,0,6,CHI,73,40:19,40:46
1,40:34,2434,2,OMAR Y 2-minutes suspension,5,EGY,96,,,,,,,,,,,,,,,,5,TRUE,EGY,-1,0,5,CHI,73,40:19,40:46
